,WT2-rmGR CTD,,,,WT3-rmGR CTD,,,,WT2-rmGR Peptide,,,,WT3-rmGR Peptide,,,,WT3-rmGR Peptide,,,,
Wavelengths,WT2,DOPS,DOPS:DOPC,DOPC,WT3,DOPS,DOPS:DOPC,DOPC,WT2 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,40 mM SDS,71 mM DPC,NTS1 Peptide,NTS1 w/ DOPS
213,-4.5055,-5.196,-5.025,-4.988,-3.087,-1.498,-1.886,-3.867,-4.077,-4.002,-3.728,-2.378,-4.757,-6.084,-4.93,-1.885,-4.825,-3.607,-4.65,-1.071,-2.302
212,-4.7995,-5.525,-5.4075,-5.625,-3.381,-1.835,-1.944,-3.733,-4.793,-5.103,-4.04,-2.301,-4.997,-6.262,-3.474,-1.702,-5.182,-3.955,-4.508,-1.032,-1.579
211,-5.4725,-6.651,-5.8945,-6.519,-3.334,-1.746,-2.031,-3.96,-5.382,-4.898,-4.575,-3.455,-5.38,-5.486,-2.145,-1.854,-5.978,-4.778,-4.588,-1.014,-1.845
210,-6.0225,-7.717,-6.5515,-7.038,-3.447,-1.968,-2.362,-4.282,-6.058,-6.038,-5.482,-4.457,-5.612,-4.599,0.458,-2.59,-6.347,-5.194,-5.915,-1.016,-2.495
209,-6.506,-9.115,-7.121,-9.013,-3.718,-2.225,-1.961,-4.236,-6.8,-7.339,-6.08,-4.517,-6.531,-4.648,2.004,-2.68,-7.232,-5.559,-6.665,-1.285,-2.791
208,-7.4025,-9.865,-8.1425,-10.114,-3.921,-2.457,-2.103,-3.917,-7.576,-7.68,-7.471,-6.166,-7.401,-4.259,4.196,-3.843,-7.863,-6.316,-7.533,-0.907,-1.62
207,-8.059,-11.6,-9.022,-11.867,-3.974,-2.228,-2.089,-4.897,-9.154,-8.867,-9.343,-6.473,-8.173,-3.484,4.771,-3.258,-8.837,-7.036,-8.048,-0.74,-2.468
206,-9.2265,-12.661,-9.8545,-12.846,-4.227,-1.902,-1.894,-5.001,-9.807,-9.817,-9.865,-7.867,-8.712,-3.009,6.533,-4.993,-9.869,-8.038,-9.137,-0.767,-1.743
205,-10.239,-14.554,-11.0835,-14.505,-4.361,-2.678,-1.583,-5.238,-11.203,-11.665,-11.252,-9.357,-10.212,-2.135,10.239,-5.387,-11.232,-8.328,-9.282,-0.977,-1.069
204,-11.4125,-16.361,-12.154,-15.762,-4.387,-1.654,-1.619,-4.362,-11.957,-13.217,-12.864,-10.981,-11.306,-1.19,9.852,-5.031,-12.634,-8.955,-10.103,-0.897,-1.753
203,-12.2905,-15.351,-12.5175,-15.854,-4.668,-2.177,-1.042,-5.555,-13.615,-13.618,-14.506,-10.372,-11.258,-0.335,12.783,-8.017,-13.079,-9.091,-10.851,-0.606,-0.385
202,-13.462,-15.282,-14.8655,-15.712,-4.559,-1.967,-0.015,-4.761,-14.252,-13.227,-16.371,-14.516,-12.024,-1.527,11.106,-7.424,-13.3,-9.525,-11.459,-0.42,-1.318
201,-14.0665,-18.427,-15.0545,-18.924,-4.795,-0.799,3.488,-3.363,-15.182,-16.539,-14.432,-14.887,-12.841,-2.062,15.595,-8.922,-14.267,-9.147,-11.541,-0.273,1.378
200,-14.656,-20.419,-17.779,-16.093,-4.62,0.284,2.254,-2.883,-16.235,-13.873,-16.681,-13.489,-13.413,-2.622,14.996,-10.882,-15.175,-8.145,-11.521,-0.445,2.444
199,-14.93,-14.95,-12.903,-11.149,-4.243,1.708,4.86,-0.744,-16.6,-11.243,-20.867,-10.714,-13.831,11.849,9.536,-6.275,-14.399,-7.593,-11.161,-0.105,0.196
198,-15.339,-9.589,-11.909,-5.182,-4.045,2.634,6.119,4.207,-17.156,-8.932,-18.054,-8.698,-13.119,9.387,10.667,-10.439,-14.687,-6.363,-9.874,-0.307,-0.732
197,-15.377,-15.508,-16.7765,-8.649,-3.642,4.918,7.293,13.374,-15.988,-17.101,-21.482,-18.163,-12.544,-1.573,12.419,-8.946,-12.103,-5.299,-8.801,-0.184,1.014
196,-14.668,-4.816,-3.97,-0.255,-3.563,4.178,5.968,12.596,-15.724,-15.02,-25.953,-12.34,-12.454,-3.135,10.097,-5.611,-13.139,-2.885,-8.635,-0.04,-3.064
195,-14.0845,-0.102,-2.799,0.88,-2.96,4.137,9.872,-2.992,-15.823,18.959,-4.956,-5.613,-11.155,9.745,21.873,-3.559,-9.478,-0.961,-7.226,0.809,-6.711
